cell_id,glat,glng,lat,lng,count,weight
234,34.300000000000004,-116.9,34.26425271428572,-116.86974132142858,28,58
235,34.300000000000004,-116.80000000000001,34.28047001612904,-116.82830980645161,62,133
236,34.4,-120.0,34.445274568181816,-119.95621245454545,44,88
237,34.4,-119.9,34.42441431578453,-119.86626283550363,699,1406
238,34.4,-119.80000000000001,34.43869157115286,-119.79303316812076,1619,3259
239,34.4,-119.7,34.42366359900422,-119.70344612366824,1603,3222
240,34.4,-119.60000000000001,34.4214196311276,-119.60552622257808,1484,2987
241,34.4,-119.5,34.39550068589332,-119.50876196971477,1085,2201
242,34.4,-119.4,34.37190431789209,-119.42072365332918,337,682
243,34.4,-119.30000000000001,34.40337574400445,-119.29714534496009,964,1959
244,34.4,-119.2,34.43920076035836,-119.19814438821476,151,302
245,34.4,-119.10000000000001,34.409689599803585,-119.09776705268206,188,380
246,34.4,-119.0,34.37045397525273,-119.00402424517638,352,718
247,34.4,-118.9,34.38646118550269,-118.91532291940084,352,714
248,34.4,-118.80000000000001,34.40522341720549,-118.79999874954841,252,518
249,34.4,-118.7,34.41753841438978,-118.68321560236055,197,404
250,34.4,-118.60000000000001,34.40282461412871,-118.57867773113318,4133,9494
251,34.4,-118.5,34.38091032620662,-118.48866362459101,3109,6350
252,34.4,-118.4,34.42696509490931,-118.40627171857558,1772,3609
253,34.4,-118.30000000000001,34.43792568210235,-118.31010953411163,126,252
254,34.4,-118.2,34.44013460043127,-118.22246252610994,37,74
255,34.4,-118.10000000000001,34.40946927123591,-118.08918094859665,234,465
256,34.4,-117.9,34.371307741920276,-117.89701895686017,43,86
257,34.4,-117.80000000000001,34.39041049286504,-117.78208837646498,41,108
258,34.4,-117.7,34.39055315312333,-117.67775820892004,72,151
259,34.4,-117.60000000000001,34.41128274911614,-117.59542736792882,520,1056
260,34.4,-117.5,34.414133672985734,-117.49908259768681,215,443
261,34.4,-117.4,34.392133896763305,-117.40602357391766,2329,5242
262,34.4,-117.30000000000001,34.40881586585366,-117.31671240243902,82,168
263,34.4,-117.2,34.41643112975597,-117.20976546841726,163,324
264,34.4,-116.9,34.4172446,-116.90262744,25,56
265,34.5,-120.30000000000001,34.5211291884803,-120.30368599932244,55,115
266,34.5,-120.2,34.4996807112058,-120.21712491722836,693,1418
267,34.5,-120.10000000000001,34.46980924057286,-120.09288262809098,172,352
268,34.5,-120.0,34.46290717716329,-120.00384631000506,102,206
269,34.5,-119.9,34.53499554745625,-119.86809491114087,89,190
270,34.5,-119.80000000000001,34.480826607237525,-119.79475743409166,578,1184
271,34.5,-119.7,34.46694052355459,-119.70508011432895,76,152
272,34.5,-119.30000000000001,34.485143898755986,-119.28235666226391,197,396
273,34.5,-119.2,34.49920095237023,-119.22000027951464,76,152
274,34.5,-118.7,34.52254086666667,-118.65994799259259,135,291
275,34.5,-118.60000000000001,34.48124578449005,-118.61981396911686,1864,4235
276,34.5,-118.5,34.48098553102415,-118.50311604835062,419,838
277,34.5,-118.4,34.485941318200204,-118.40140753430154,290,590
278,34.5,-118.30000000000001,34.483195898721455,-118.30367384902866,1694,3490
279,34.5,-118.2,34.49315334423458,-118.19818136118705,1574,3185
280,34.5,-118.10000000000001,34.50749006147327,-118.11762890709323,1630,3325
281,34.5,-118.0,34.52653233620381,-117.99134387018347,579,1183
282,34.5,-117.9,34.51018646639225,-117.9112417488768,234,482
283,34.5,-117.80000000000001,34.512557875261145,-117.81988324875998,132,278
284,34.5,-117.7,34.482138817898594,-117.70643831264773,200,421
285,34.5,-117.60000000000001,34.48934425,-117.58265918243244,148,301
286,34.5,-117.5,34.49312260647103,-117.4960348256249,99,198
287,34.5,-117.4,34.486150625381384,-117.38606825217397,287,600
288,34.5,-117.30000000000001,34.49404043909541,-117.32023210488144,1139,2507
289,34.5,-117.2,34.4930286356,-117.1838286484,50,101
290,34.5,-117.10000000000001,34.47838199538731,-117.11561016235017,80,160
291,34.6,-120.5,34.6311175645308,-120.48767509599294,43,86
292,34.6,-120.4,34.606758266494595,-120.41083250894604,142,298
293,34.6,-120.30000000000001,34.6266904092452,-120.28619508576516,44,88
294,34.6,-120.2,34.602487171122974,-120.18787860530577,261,525
295,34.6,-120.10000000000001,34.6133550042461,-120.08784545972617,443,895
296,34.6,-120.0,34.5842273167033,-119.98814601020145,138,292
297,34.6,-119.9,34.561680844454024,-119.92813028295619,59,138
298,34.6,-119.4,34.629747724100575,-119.37147543420208,36,72
299,34.6,-119.30000000000001,34.57735886674516,-119.27781437113339,37,73
300,34.6,-118.80000000000001,34.64832690909091,-118.752906,22,45
301,34.6,-118.7,34.57980925065922,-118.69580295194163,768,1744
302,34.6,-118.5,34.572954776996035,-118.49120766796545,47,94
303,34.6,-118.4,34.60509126849479,-118.39058857288614,249,497
304,34.6,-118.30000000000001,34.607719136076504,-118.28524984537925,183,368
305,34.6,-118.2,34.62937039948012,-118.17843376908151,983,1986
306,34.6,-118.10000000000001,34.58444255177004,-118.13250579996631,1432,2915
307,34.6,-118.0,34.591900971588316,-117.99578151695562,393,786
308,34.6,-117.9,34.583162597974166,-117.91100412096519,212,429
309,34.6,-117.80000000000001,34.60748777882486,-117.82635656759572,266,543
310,34.6,-117.7,34.60144233333334,-117.69598648148148,27,54
311,34.6,-117.60000000000001,34.59562333481657,-117.60741544365973,49,98
312,34.6,-117.4,34.59354367699633,-117.41742316960998,34,70
313,34.6,-117.30000000000001,34.58975035695416,-117.29132557521432,204,442
314,34.6,-117.2,34.63064210593448,-117.21539752989247,148,322
315,34.6,-114.60000000000001,34.584036062209634,-114.63969112344633,51,104
316,34.7,-120.5,34.69848307895944,-120.47915879663104,253,514
317,34.7,-120.4,34.68227706117393,-120.42243451406956,231,465
318,34.7,-120.30000000000001,34.72781000246073,-120.28539887034508,133,266
319,34.7,-120.2,34.697541469043486,-120.18091365707869,197,393
320,34.7,-120.10000000000001,34.67044466881067,-120.11468379922306,140,279
321,34.7,-119.4,34.69750959757505,-119.37413252058727,39,78
